Fish_ID,Average_Speed,Speed_Variability,Inactivity_Percent,Surface_Visits,Bottom_Dwelling_Percent,Stress_Score,Stress_Level
5,10.50325929523331,7.41098968277535,26.865671641791046,0,0.0,0.10746268656716418,Low
60,16.22216389857432,16.790188368825575,26.785714285714285,0,78.57142857142857,0.34285714285714286,Medium
68,8.410756665712901,7.5685756907537325,40.32258064516129,62,0.0,0.4612903225806452,Medium
104,8.960869620120128,7.350457388359656,30.76923076923077,2,0.0,0.12307692307692308,Low
183,26.776228168195935,20.837998040050874,10.0,0,0.0,0.04000000000000001,Low
824,15.510437335930076,14.150348946731516,23.870967741935484,0,0.0,0.09548387096774194,Low
979,10.607329441603587,15.645273623112873,25.40983606557377,0,0.0,0.1016393442622951,Low
1443,9.704755626766127,15.238898344320909,48.05194805194805,0,0.0,0.19220779220779222,Low
1456,10.398652189041117,8.096646472248697,32.55813953488372,0,0.0,0.1302325581395349,Low
1596,14.711355070088116,24.04861946666572,31.944444444444443,0,0.0,0.12777777777777777,Low
1951,23.695445982889325,28.802601398385537,15.068493150684931,0,0.0,0.06027397260273973,Low
2514,21.762486611505395,23.67068181970437,14.074074074074074,0,0.0,0.0562962962962963,Low
2699,20.84678873458444,16.80295131859811,13.91304347826087,0,2.608695652173913,0.06347826086956522,Low
4140,12.645209668172182,7.473879838465677,16.94915254237288,0,0.0,0.06779661016949151,Low
4177,24.965653326969637,13.58680261630744,1.8867924528301887,0,18.867924528301888,0.06415094339622641,Low
4209,8.371434037523192,7.154225608961752,33.92857142857143,0,64.28571428571429,0.3285714285714286,Medium
4594,12.828316984183914,5.470083179159265,7.2727272727272725,0,0.0,0.02909090909090909,Low
4894,9.981214295595223,10.451252239114904,25.806451612903224,0,0.0,0.1032258064516129,Low
4981,16.5203025854395,13.301480701556759,13.88888888888889,0,12.5,0.09305555555555556,Low
5073,10.527494752636585,12.637242577876902,24.637681159420293,0,0.0,0.09855072463768118,Low
5113,12.101804456584569,8.974366172679282,19.41747572815534,0,0.0,0.07766990291262137,Low
5350,21.76269149681114,22.203643010146873,10.76923076923077,0,1.5384615384615385,0.0476923076923077,Low
5481,16.142735898289782,10.810107251965503,15.0,0,0.0,0.06,Low
5594,14.873780874000333,11.275095537861041,13.793103448275861,0,0.0,0.05517241379310345,Low
5704,5.761336703960657,7.775939364126993,63.793103448275865,0,0.0,0.25517241379310346,Low
5711,3.3969004060267736,3.0136370971274133,76.47058823529412,0,0.0,0.3058823529411765,Medium
5873,10.749192466562244,34.827128680352224,52.23880597014925,0,0.0,0.208955223880597,Low
5982,10.70859187151124,13.831616636203655,40.0,0,1.4285714285714286,0.1642857142857143,Low
6104,6.659260447104973,6.543638932535325,48.38709677419355,0,0.0,0.19354838709677422,Low
6172,7.3005413881922685,7.157820245140642,37.03703703703704,0,0.0,0.14814814814814817,Low
6247,10.717835833726342,17.763744272170396,39.66942148760331,0,0.0,0.15867768595041323,Low
6275,11.572587049095583,10.601401518256957,20.0,0,0.0,0.08000000000000002,Low
6340,10.351322135326454,14.574245689009635,49.056603773584904,0,54.71698113207547,0.36037735849056607,Medium
6387,11.21110884237084,11.186746744466948,14.606741573033707,0,0.0,0.058426966292134834,Low
6429,2.4638678985562423,2.721248322672848,89.10505836575877,0,0.0,0.3564202334630351,Medium
6479,14.354531705558706,19.01948952686242,24.285714285714285,9,0.0,0.09714285714285714,Low
6682,7.7945503050922555,5.927139536189575,39.705882352941174,0,0.0,0.1588235294117647,Low
6735,6.433468977520637,5.768690514572692,48.837209302325576,3,0.0,0.1953488372093023,Low
6740,7.876065841563237,8.5954284175688,46.52777777777778,0,0.0,0.18611111111111112,Low
6840,3.07985998929725,3.1112529317935316,86.36363636363636,0,0.0,0.34545454545454546,Medium
7044,13.325342784907109,9.212874115039646,15.492957746478872,51,0.0,0.36197183098591545,Medium
7081,11.247818338805068,12.941980866570292,47.4025974025974,0,0.0,0.18961038961038962,Low
7237,7.704814525486684,7.528567092502533,44.61538461538462,0,27.692307692307693,0.26153846153846155,Low
7354,19.854356847094913,20.765781711269508,6.329113924050633,0,0.0,0.025316455696202535,Low
7451,24.805795917335864,46.451539007356686,19.047619047619047,0,0.0,0.0761904761904762,Low
7477,8.327252340066519,10.861799277240817,47.05882352941176,0,0.0,0.18823529411764706,Low
7585,10.140459235238025,14.271861617918196,43.859649122807014,0,0.0,0.17543859649122806,Low
7835,4.522306318873311,3.351554280909001,70.56074766355141,0,0.0,0.28224299065420566,Low
7861,9.52334582558159,10.885624153333847,38.961038961038966,0,0.0,0.1558441558441559,Low
8075,13.348803021311964,10.354546187751724,12.307692307692308,0,0.0,0.04923076923076924,Low
8220,9.886377124602264,13.148730294789939,50.51546391752577,0,0.0,0.2020618556701031,Low
8316,5.996980560171591,3.353224227226851,43.82022471910113,0,0.0,0.17528089887640452,Low
